2016-03-04,MIA,"[40, 19, 25, 28]",PHI,"[29, 20, 28, 25]"
2016-03-06,PHI,"[25, 24, 20, 29]",MIA,"[30, 17, 22, 34]"
2016-03-09,HOU,"[21, 40, 32, 25]",PHI,"[27, 25, 27, 25]"
2016-03-12,DET,"[27, 25, 38, 35]",PHI,"[32, 25, 30, 24]"
2016-01-01,CHA,"[28, 27, 27, 12]",TOR,"[29, 26, 19, 30]"
2016-01-03,CHI,"[26, 22, 33, 34]",TOR,"[26, 34, 27, 26]"
2016-01-04,TOR,"[29, 27, 22, 22]",CLE,"[33, 25, 32, 32]"
2016-01-08,TOR,"[18, 29, 26, 24]",WSH,"[26, 21, 14, 27]"
2016-01-14,TOR,"[31, 30, 16, 19]",ORL,"[18, 36, 19, 23]"
2016-01-22,MIA,"[20, 24, 23, 14]",TOR,"[31, 29, 20, 21]"
2016-01-24,LAC,"[34, 15, 22, 23]",TOR,"[27, 35, 21, 29]"
2016-01-26,WSH,"[18, 32, 20, 19]",TOR,"[24, 29, 24, 29]"
2016-01-30,DET,"[17, 30, 25, 35]",TOR,"[26, 29, 26, 30]"
2016-02-01,TOR,"[28, 21, 16, 28]",DEN,"[28, 32, 20, 32]"
2016-02-02,TOR,"[28, 24, 26, 26]",PHX,"[32, 13, 26, 26]"
2016-02-04,TOR,"[37, 22, 23, 28]",POR,"[25, 26, 24, 28]"
2016-02-08,TOR,"[19, 30, 21, 33]",DET,"[24, 19, 22, 24]"
2016-02-10,TOR,"[32, 36, 21, 23]",MIN,"[26, 29, 33, 29]"
2016-02-19,TOR,"[35, 23, 23, 25]",CHI,"[24, 28, 37, 27]"
2016-02-21,MEM,"[20, 23, 21, 21]",TOR,"[22, 24, 28, 24]"
2016-02-24,MIN,"[28, 30, 28, 19]",TOR,"[37, 24, 26, 27]"
2016-02-26,CLE,"[31, 18, 28, 20]",TOR,"[21, 24, 23, 31]"
2016-02-28,TOR,"[25, 27, 20, 29]",DET,"[23, 29, 37, 25]"
2016-03-02,UTAH,"[26, 23, 25, 20]",TOR,"[24, 28, 33, 19]"
2016-03-04,POR,"[30, 22, 25, 38]",TOR,"[31, 27, 32, 27]"
2016-03-06,HOU,"[26, 25, 26, 36]",TOR,"[30, 31, 24, 22]"
2016-03-10,ATL,"[21, 27, 27, 21]",TOR,"[20, 32, 30, 22]"
2016-03-12,MIA,"[24, 22, 25, 26]",TOR,"[28, 25, 17, 27]"
2016-01-02,DEN,"[13, 34, 30, 25]",GS,"[37, 26, 27, 12]"
2016-01-04,CHA,"[24, 30, 23, 24]",GS,"[32, 30, 33, 16]"
2016-01-05,GS,"[37, 25, 30, 17]",LAL,"[25, 22, 13, 28]"
2016-01-08,GS,"[38, 36, 32, 22]",POR,"[21, 31, 35, 21]"
2016-01-09,GS,"[26, 34, 36, 32]",SAC,"[27, 31, 26, 32]"
2016-01-11,MIA,"[25, 29, 23, 26]",GS,"[27, 29, 24, 31]"
2016-01-13,GS,"[25, 29, 19, 37]",DEN,"[32, 23, 28, 29]"
2016-01-14,LAL,"[23, 26, 23, 26]",GS,"[24, 28, 34, 30]"
2016-01-16,GS,"[30, 19, 25, 21]",DET,"[27, 38, 20, 28]"
2016-01-18,GS,"[34, 36, 34, 28]",CLE,"[21, 23, 23, 31]"
2016-01-20,GS,"[34, 29, 24, 38]",CHI,"[18, 26, 19, 31]"
2016-01-22,IND,"[18, 33, 24, 35]",GS,"[32, 32, 24, 34]"
2016-01-25,SA,"[23, 24, 19, 24]",GS,"[29, 33, 33, 25]"
2016-01-27,DAL,"[22, 26, 29, 30]",GS,"[32, 24, 39, 32]"
2016-02-03,GS,"[43, 31, 29, 31]",WSH,"[28, 32, 32, 29]"
2016-02-06,OKC,"[31, 28, 24, 25]",GS,"[36, 37, 18, 25]"
2016-02-09,HOU,"[27, 39, 27, 17]",GS,"[42, 27, 24, 30]"
2016-02-10,GS,"[29, 28, 34, 21]",PHX,"[28, 15, 32, 29]"
2016-02-19,GS,"[31, 31, 17, 26]",POR,"[42, 26, 36, 33]"
2016-02-20,GS,"[33, 30, 30, 22]",LAC,"[20, 33, 31, 28]"
2016-02-22,GS,"[30, 28, 18, 26]",ATL,"[15, 24, 36, 17]"
2016-02-24,GS,"[21, 30, 29, 38]",MIA,"[30, 25, 28, 29]"
2016-02-25,GS,"[33, 26, 40, 31]",ORL,"[30, 33, 28, 23]"
2016-02-27,GS,"[20, 26, 32, 25]",OKC,"[30, 27, 26, 20]"
2016-03-01,ATL,"[26, 22, 22, 27]",GS,"[32, 27, 16, 22]"
2016-03-03,OKC,"[28, 33, 22, 23]",GS,"[29, 34, 19, 39]"
2016-03-06,GS,"[21, 28, 24, 22]",LAL,"[22, 38, 24, 28]"
2016-03-07,ORL,"[18, 28, 31, 36]",GS,"[31, 28, 35, 25]"
2016-03-09,UTAH,"[21, 20, 22, 31]",GS,"[23, 29, 29, 34]"
2016-03-11,POR,"[27, 34, 25, 26]",GS,"[40, 41, 29, 18]"
2016-03-12,PHX,"[24, 32, 39, 21]",GS,"[31, 29, 26, 37]"
2016-01-06,LAC,"[31, 32, 22, 24]",POR,"[18, 22, 30, 28]"
2016-01-09,CHA,"[18, 28, 18, 19]",LAC,"[27, 16, 27, 27]"
2016-01-10,NO,"[24, 25, 27, 25]",LAC,"[19, 37, 28, 17]"
2016-01-13,MIA,"[25, 27, 17, 21]",LAC,"[17, 28, 34, 25]"
2016-01-16,SAC,"[30, 34, 18, 28]",LAC,"[30, 30, 19, 24]"
2016-01-18,HOU,"[21, 31, 28, 42]",LAC,"[33, 26, 35, 28]"
2016-01-21,LAC,"[31, 19, 22, 30]",CLE,"[28, 31, 29, 27]"
2016-01-26,LAC,"[25, 21, 28, 17]",IND,"[25, 26, 21, 17]"
2016-01-27,LAC,"[17, 26, 21, 21]",ATL,"[23, 22, 21, 17]"
2016-01-29,LAL,"[29, 20, 22, 22]",LAC,"[28, 26, 24, 27]"
2016-01-31,CHI,"[22, 25, 26, 20]",LAC,"[24, 27, 33, 36]"
2016-02-03,MIN,"[27, 26, 23, 32]",LAC,"[27, 28, 19, 28]"
2016-02-05,LAC,"[28, 27, 22, 30]",ORL,"[20, 24, 29, 20]"
2016-02-07,LAC,"[15, 31, 27, 27]",MIA,"[19, 26, 20, 28]"
2016-02-18,SA,"[15, 19, 29, 23]",LAC,"[21, 21, 30, 33]"
2016-02-22,PHX,"[17, 25, 19, 23]",LAC,"[36, 23, 31, 34]"
2016-02-24,DEN,"[23, 30, 18, 16]",LAC,"[19, 20, 23, 19]"
2016-02-26,LAC,"[30, 34, 34, 19]",SAC,"[30, 37, 16, 24]"
2016-03-02,OKC,"[37, 21, 27, 13]",LAC,"[24, 14, 30, 35]"
2016-03-05,ATL,"[25, 25, 30, 27]",LAC,"[37, 18, 24, 18]"
2016-03-07,LAC,"[23, 27, 33, 26]",DAL,"[24, 28, 16, 22]"
2016-03-09,LAC,"[29, 33, 21, 25]",OKC,"[39, 25, 29, 27]"
2016-03-13,CLE,"[21, 37, 33, 23]",LAC,"[19, 22, 27, 22]"
2016-01-03,PHX,"[10, 12, 29, 26]",LAL,"[25, 18, 38, 16]"
2016-01-07,LAL,"[21, 27, 38, 29]",SAC,"[38, 31, 33, 16]"
2016-01-08,OKC,"[32, 28, 30, 27]",LAL,"[28, 25, 32, 28]"
2016-01-10,UTAH,"[15, 28, 18, 25]",LAL,"[14, 16, 20, 24]"
2016-01-12,NO,"[22, 19, 30, 20]",LAL,"[15, 23, 29, 28]"
2016-01-16,LAL,"[18, 18, 23, 23]",UTAH,"[32, 28, 29, 20]"
2016-01-17,HOU,"[32, 28, 34, 18]",LAL,"[36, 21, 18, 20]"
2016-01-20,SAC,"[28, 29, 29, 26]",LAL,"[18, 34, 25, 16]"
2016-01-22,SA,"[31, 25, 31, 21]",LAL,"[22, 21, 28, 24]"
2016-01-23,LAL,"[22, 30, 24, 27]",POR,"[37, 25, 39, 20]"
2016-01-26,DAL,"[32, 24, 21, 15]",LAL,"[25, 33, 20, 12]"
2016-01-28,CHI,"[32, 26, 32, 24]",LAL,"[15, 25, 31, 20]"
2016-01-31,CHA,"[21, 37, 25, 18]",LAL,"[16, 27, 17, 22]"
2016-02-02,MIN,"[26, 26, 29, 34]",LAL,"[27, 39, 26, 27]"
2016-02-04,LAL,"[26, 33, 20, 20]",NO,"[28, 20, 21, 27]"
2016-02-06,LAL,"[20, 31, 30, 21]",SA,"[29, 25, 25, 27]"
2016-02-08,LAL,"[22, 16, 21, 28]",IND,"[23, 23, 18, 25]"
2016-02-10,LAL,"[25, 22, 27, 37]",CLE,"[35, 29, 29, 27]"
2016-02-19,SA,"[33, 27, 25, 34]",LAL,"[30, 19, 26, 38]"
2016-02-21,LAL,"[30, 28, 23, 34]",CHI,"[31, 31, 35, 29]"
2016-02-22,LAL,"[19, 29, 17, 36]",MIL,"[29, 25, 36, 18]"
2016-02-24,LAL,"[26, 32, 26, 35]",MEM,"[36, 31, 30, 31]"
2016-02-26,MEM,"[32, 35, 23, 22]",LAL,"[25, 25, 21, 24]"
2016-03-02,LAL,"[29, 31, 22, 25]",DEN,"[27, 30, 26, 34]"
2016-03-04,ATL,"[26, 28, 20, 32]",LAL,"[19, 17, 23, 18]"
2016-03-08,ORL,"[26, 25, 26, 21]",LAL,"[20, 25, 39, 23]"
2016-03-10,CLE,"[33, 31, 31, 25]",LAL,"[31, 24, 27, 26]"
2016-01-02,PHX,"[18, 35, 34, 32]",SAC,"[31, 28, 44, 39]"
2016-01-06,CHA,"[32, 20, 33, 17]",PHX,"[34, 26, 26, 25]"
2016-01-08,MIA,"[21, 32, 24, 26]",PHX,"[20, 20, 33, 22]"
2016-01-12,PHX,"[19, 23, 34, 21]",IND,"[25, 27, 28, 36]"
2016-01-17,PHX,"[23, 25, 21, 18]",MIN,"[24, 34, 25, 34]"
2016-01-19,IND,"[25, 19, 27, 26]",PHX,"[17, 18, 26, 33]"
2016-01-21,SA,"[25, 26, 28, 38]",PHX,"[18, 21, 30, 20]"
2016-01-23,ATL,"[23, 16, 25, 31]",PHX,"[29, 19, 26, 24]"
2016-01-27,PHX,"[26, 24, 21, 22]",CLE,"[23, 32, 32, 28]"
2016-01-31,PHX,"[23, 22, 24, 9]",DAL,"[21, 30, 17, 23]"
2016-02-04,HOU,"[19, 37, 32, 23]",PHX,"[28, 31, 21, 25]"
2016-02-06,UTAH,"[31, 22, 18, 27]",PHX,"[12, 23, 23, 31]"
2016-02-08,OKC,"[28, 29, 32, 33]",PHX,"[19, 38, 28, 21]"
2016-02-19,HOU,"[21, 35, 25, 35]",PHX,"[24, 21, 20, 35]"
2016-02-21,SA,"[30, 30, 28, 30]",PHX,"[21, 29, 32, 29]"
2016-02-27,MEM,"[18, 28, 30, 30]",PHX,"[25, 29, 32, 25]"
2016-03-01,PHX,"[18, 24, 19, 31]",CHA,"[35, 33, 30, 28]"
2016-03-03,PHX,"[21, 22, 25, 24]",MIA,"[29, 28, 27, 24]"
2016-03-04,PHX,"[29, 29, 26, 18]",ORL,"[29, 21, 16, 18]"
2016-03-06,PHX,"[24, 29, 32, 24]",MEM,"[24, 35, 15, 26]"
2016-03-10,PHX,"[18, 23, 33, 24]",DEN,"[25, 30, 27, 34]"
2016-01-04,SAC,"[31, 37, 22, 26]",OKC,"[33, 33, 16, 22]"
2016-01-05,SAC,"[24, 19, 27, 28]",DAL,"[27, 22, 29, 20]"
2016-01-13,NO,"[28, 31, 31, 19]",SAC,"[19, 25, 21, 32]"
2016-01-14,SAC,"[26, 30, 26, 21]",UTAH,"[12, 33, 26, 30]"
2016-01-21,ATL,"[20, 24, 19, 25]",SAC,"[27, 20, 25, 19]"
2016-01-23,IND,"[25, 20, 25, 27]",SAC,"[31, 19, 31, 27]"
2016-01-25,CHA,"[16, 30, 42, 27]",SAC,"[31, 25, 28, 31]"
2016-01-26,SAC,"[29, 23, 22, 23]",POR,"[33, 25, 30, 24]"
2016-01-28,SAC,"[19, 34, 26, 26]",NO,"[37, 26, 29, 22]"
2016-01-30,SAC,"[22, 29, 26, 40]",MEM,"[36, 29, 27, 29]"
2016-02-01,MIL,"[32, 24, 18, 30]",SAC,"[25, 28, 21, 37]"
2016-02-03,CHI,"[34, 26, 20, 27]",SAC,"[25, 32, 18, 27]"
2016-02-08,SAC,"[23, 22, 25, 30]",CLE,"[31, 30, 30, 29]"
2016-02-19,DEN,"[24, 33, 20, 33]",SAC,"[31, 39, 18, 28]"
2016-02-23,SAC,"[28, 33, 30, 23]",DEN,"[25, 25, 27, 33]"
2016-02-24,SA,"[25, 24, 27, 32]",SAC,"[24, 14, 32, 22]"
2016-03-02,SAC,"[28, 15, 35, 20]",MEM,"[31, 28, 24, 21]"
2016-03-03,SAC,"[19, 31, 23, 31]",DAL,"[24, 21, 24, 32]"
2016-03-05,SAC,"[22, 32, 13, 27]",SA,"[29, 28, 29, 18]"
2016-03-07,SAC,"[31, 32, 26, 23]",NO,"[33, 17, 33, 32]"
2016-03-09,CLE,"[28, 26, 35, 31]",SAC,"[25, 35, 24, 27]"
2016-03-11,ORL,"[27, 23, 30, 27]",SAC,"[21, 28, 26, 25]"
2016-03-13,UTAH,"[36, 25, 23, 24]",SAC,"[18, 27, 24, 30]"
2016-01-05,MIL,"[28, 33, 28, 17]",CHI,"[36, 31, 27, 23]"
2016-01-09,CHI,"[19, 32, 32, 22]",ATL,"[30, 34, 25, 31]"
2016-01-11,WSH,"[28, 34, 21, 31]",CHI,"[25, 23, 26, 26]"
2016-01-12,CHI,"[29, 22, 26, 24]",MIL,"[20, 26, 28, 32]"
2016-01-15,DAL,"[18, 18, 23, 24]",CHI,"[22, 24, 15, 16]"
2016-01-18,CHI,"[26, 30, 27, 28]",DET,"[32, 21, 26, 22]"
2016-01-23,CHI,"[21, 23, 28, 24]",CLE,"[14, 25, 19, 25]"
2016-01-25,MIA,"[18, 31, 12, 28]",CHI,"[23, 24, 21, 16]"
2016-02-01,CHI,"[26, 25, 17, 25]",UTAH,"[26, 21, 20, 26]"
2016-02-05,CHI,"[26, 31, 32, 21]",DEN,"[30, 25, 18, 42]"
2016-02-06,CHI,"[21, 34, 29, 21]",MIN,"[26, 23, 35, 28]"
2016-02-08,CHI,"[20, 22, 23, 26]",CHA,"[38, 19, 30, 21]"
2016-02-10,ATL,"[28, 25, 38, 22]",CHI,"[29, 19, 25, 17]"
2016-02-18,CHI,"[19, 23, 22, 31]",CLE,"[26, 22, 30, 28]"
2016-02-24,WSH,"[31, 24, 24, 25]",CHI,"[28, 29, 32, 20]"
2016-02-26,CHI,"[21, 23, 23, 21]",ATL,"[26, 25, 28, 24]"
2016-02-27,POR,"[21, 30, 28, 24]",CHI,"[21, 20, 32, 22]"
2016-03-01,CHI,"[30, 32, 20, 29]",MIA,"[36, 29, 30, 34]"
2016-03-02,CHI,"[23, 27, 17, 22]",ORL,"[33, 27, 24, 18]"
2016-03-05,HOU,"[23, 20, 32, 25]",CHI,"[29, 26, 28, 25]"
2016-03-07,MIL,"[16, 24, 29, 21]",CHI,"[25, 22, 26, 27]"
2016-03-10,CHI,"[27, 20, 27, 27]",SA,"[27, 27, 30, 25]"
2016-03-11,MIA,"[23, 31, 30, 34]",CHI,"[31, 27, 23, 15]"
2016-01-02,ORL,"[13, 19, 21, 26]",CLE,"[29, 26, 26, 23]"
2016-01-06,CLE,"[24, 38, 33, 26]",WSH,"[26, 24, 39, 26]"
2016-01-08,CLE,"[35, 27, 33, 30]",MIN,"[27, 19, 30, 23]"
2016-01-12,CLE,"[22, 25, 20, 28]",DAL,"[25, 27, 20, 23]"
2016-01-14,CLE,"[32, 18, 23, 22]",SA,"[20, 24, 28, 27]"
2016-01-15,CLE,"[23, 23, 22, 23]",HOU,"[21, 14, 16, 26]"
2016-01-25,MIN,"[29, 26, 18, 34]",CLE,"[32, 27, 24, 31]"
2016-01-29,CLE,"[33, 33, 30, 18]",DET,"[27, 31, 20, 28]"
2016-01-30,SA,"[30, 19, 27, 27]",CLE,"[37, 29, 26, 25]"
2016-02-01,CLE,"[33, 27, 15, 21]",IND,"[26, 23, 30, 17]"
2016-02-03,CLE,"[23, 35, 17, 22]",CHA,"[23, 26, 33, 24]"
2016-02-06,NO,"[20, 23, 27, 14]",CLE,"[28, 26, 20, 25]"
2016-02-21,CLE,"[27, 35, 33, 20]",OKC,"[28, 25, 20, 19]"
2016-02-22,DET,"[33, 23, 19, 21]",CLE,"[28, 21, 19, 20]"
2016-02-24,CHA,"[24, 28, 24, 27]",CLE,"[23, 40, 25, 26]"
2016-02-28,CLE,"[28, 26, 16, 29]",WSH,"[35, 28, 33, 17]"
2016-03-04,WSH,"[23, 19, 21, 20]",CLE,"[27, 32, 24, 25]"
2016-03-07,MEM,"[33, 25, 24, 24]",CLE,"[25, 24, 25, 29]"
2016-01-02,DET,"[20, 22, 17, 23]",IND,"[24, 17, 23, 30]"
2016-01-04,ORL,"[23, 24, 27, 15]",DET,"[31, 26, 31, 27]"
2016-01-12,SA,"[24, 29, 28, 28]",DET,"[25, 19, 22, 33]"
2016-01-14,DET,"[24, 19, 28, 30]",MEM,"[21, 27, 31, 24]"
2016-01-20,DET,"[33, 23, 29, 38]",HOU,"[23, 24, 32, 35]"
2016-01-21,DET,"[27, 26, 24, 22]",NO,"[35, 37, 18, 25]"
2016-01-23,DET,"[32, 22, 20, 27]",DEN,"[26, 19, 39, 20]"
2016-01-25,DET,"[22, 26, 21, 26]",UTAH,"[13, 23, 23, 33]"
2016-02-06,DET,"[22, 26, 33, 23]",IND,"[34, 28, 25, 25]"
2016-02-10,DEN,"[20, 32, 23, 28]",DET,"[22, 31, 18, 21]"
